index,gender,age,sleep_time,getup,asleep,nap,phone_time,most_act,before_sleep,after_getup
1,0,2,7,9:00,2:00,0,6,4,60,15
2,0,3,6,6:00,23:00,1,2,5,30,26
3,0,3,7,7:00,0:00,0,6,4,60,0
4,0,2,8,9:00,0:00,1,9,4,30,50
7,0,2,8,8:30,0:30,0,3,4,30,3
9,0,2,6,7:00,1:00,1,3,4,35,5
10,0,3,10,8:30,21:30,1,1,2,7,8
11,0,2,8,8:40,0:00,1,5,4,48,13
12,0,4,7,7:30,0:00,0,3,1,37,34
13,0,2,7.5,8:20,1:20,1,4,4,58,7
15,0,2,6.5,7:00,1:00,1,9,1,46,36
16,0,2,7.5,8:30,1:00,1,5,1,60,30
17,0,2,7,7:30,0:30,1,3,1,46,20
18,0,2,7,7:30,0:30,1,3,4,30,20
19,0,2,7.5,8:00,23:30,0,2.7,4,20,3
21,0,2,7,7:00,0:00,1,5,1,30,30
22,0,2,8,8:30,0:20,1,5,4,30,15
5,1,2,7,9:00,2:00,1,4,4,60,18
6,1,1,6,8:30,1:00,1,5,4,36,30
8,1,2,5,8:40,3:00,1,6,4,60,13
14,1,2,7,7:00,0:00,1,5.5,2,36,0
20,1,2,7,9:00,1:30,0,4,2,30,10
23,1,2,7,8:30,1:00,0,4,1,45,20
24,1,2,7,8:00,1:00,0,4,1,45,20
25,1,1,6,6:00,0:00,1,2,4,40,10
